M_C Results
G0_Time: 0.030697107315063477
GS_Time: 0.022352981567382812
GG_Time: 0.008190202713012695
GIG_Time: 0.007975292205810548
GR_Time: 0.007119178771972656
GS_MSE: 1.7254640602986842e-09
GG_MSE: 1.727516580554538e-09
GIG_MSE: 1.7275169687988955e-09
GR_MSE: 1.72751857803928e-09
M_R Results
G0_Time: 0.07928686141967774
GS_Time: 0.14963326454162598
GG_Time: 0.008073043823242188
GIG_Time: 0.008187294006347656
GR_Time: 0.0077971935272216795
GS_MSE: 1.6600152840259992e-09
GG_MSE: 1.665505101994314e-09
GIG_MSE: 1.6655198168324306e-09
GR_MSE: 1.6655175087909948e-09
M_G Results
G0_Time: 0.03144340515136719
GS_Time: 0.14243874549865723
GG_Time: 0.0063517093658447266
GIG_Time: 0.006855440139770508
GR_Time: 0.007492733001708984
GS_MSE: 1.73894608605021e-09
GG_MSE: 1.740988518508918e-09
GIG_MSE: 1.7409890915935933e-09
GR_MSE: 1.7409902503938905e-09
M_L2 Results
G0_Time: 0.042306947708129886
GS_Time: 0.14388270378112794
GG_Time: 0.007048654556274414
GIG_Time: 0.007006216049194336
GR_Time: 0.0073638916015625
GS_MSE: 2.29910711550132e-09
GG_MSE: 2.3021757286366118e-09
GIG_MSE: 2.302176149963573e-09
GR_MSE: 2.302177681153892e-09
